Minis ; ; ; ;; ; ; ; ;; 
ASTON MARTIN CYGNET;6;0;;X;66,7;30;0; ;X;76,7
CHEVROLET MATIZ;1;0;-;96,9;-;33;0;-;99,3;66,7
CHEVROLET SPARK; 1 052;6,5;-;25;79,3; 13 125;7,4;+;27,7;66,3
CITROEN C-ZERO;10;0,1;;X;90;200;0,1; ;X;91,5
CITROEN C1;542;3,3;-;28,4;36,9; 9 098;5,1;-;15,8;55,8
DAIHATSU CUORE;147;0,9;-;35,8;73,5; 1 134;0,6;-;18,2;50,4
FIAT PANDA; 1 002;6,2;+;19,6;68,8; 16 024;9;-;32,2;60,3
FIAT 500; 1 097;6,7;-;34,9;61,3; 16 929;9,5;-;4,4;53
FORD KA;715;4,4;-;30,1;80,8; 10 613;6;-;27,1;67,4
HYUNDAI I 10;695;4,3;-;48,9;74,2; 13 581;7,6;-;18,7;51
LANCIA YPSILON;236;1,5;+;300;86,4; 1 032;0,6;+;167,4;82,4
MITSUBISHI I-MIEV;16;0,1;;X;93,8;683;0,4; ;X;91,8
NISSAN PIXO;188;1,2;-;52,3;66,5; 2 720;1,5;-;42,9;54,5
OPEL AGILA;536;3,3;+;11,9;77,2; 4 077;2,3;-;38,9;59,7
PEUGEOT ION;9;0,1;;X;100;208;0,1; ;X;100
PEUGEOT 107;316;1,9;-;28,3;61,1; 5 185;2,9;-;24,3;59,8
RENAULT TWINGO; 1 827;11,2;+;9,7;61,8; 21 897;12,3;+;11,4;45
SKODA CITIGO;6;0;;X;33,3;8;0; ;X;50
SMART FORTWO; 1 701;10,5;-;17,8;40,3; 29 465;16,6;+;1,4;34,9
SUZUKI ALTO;210;1,3;+;7,1;41; 3 679;2,1;-;14,8;25,4
SUZUKI SPLASH;266;1,6;+;8,1;38,7; 2 906;1,6;-;21,1;35,4
TOYOTA AYGO; 1 825;11,2;+;76,8;53,1; 12 163;6,8;+;9,9;41,5
TOYOTA IQ;197;1,2;-;20,2;60,4; 1 923;1,1;-;40,9;43,8
VW FOX;603;3,7;-;36;97; 7 136;4;-;46,6;82,4
VW UP; 3 058;18,8;;X;62,4; 3 884;2,2; ;X;70,2
SONSTIGE;-;-;-;100;-;11;0;-;95;45,5
ZUSAMMEN   ; 16 261 ;6,7;+;7,3;62,5; 177 744;5,6;- ;12,4;52,1
Kleinwagen ; ; ; ;; ; ; ; ;; 
ALFA MITO   ;107;0,2;-;50;54,2; 2 220;0,4;-;28;63
AUDI A1, S1   ; 2 283;5,3;+;10,3;55,5; 28 932;4,9;+;242,5;50,5
BMW MINI   ; 3 870;8,9;+;43,6;54,5; 40 345;6,9;+;28,2;51,5
CHEVROLET KALOS, AVEO;724;1,7;+;110,5;76,2; 4 841;0,8;+;47,3;79,2
CITROEN C2   ;-;-;;X;-;16;0;-;95,9;87,5
CITROEN C3   ;739;1,7;-;22,2;63,9; 11 742;2;-;29,3;58,6
CITROEN DS3   ;376;0,9;+;28,8;63,3; 6 451;1,1;+;28,2;55,9
DAIHATSU COPEN   ;8;0;;X;87,5;50;0;-;46,8;34
DAIHATSU MATERIA;79;0,2;+;17,9;97,5;314;0,1;-;54,5;85,7
DAIHATSU SIRION   ;300;0,7;+;79,6;77; 1 624;0,3;-;15,1;41,4
FIAT PUNTO   ; 1 563;3,6;+;33,2;65,6; 22 206;3,8;+;47;25,2
FORD FIESTA   ; 4 274;9,9;+;79;80,8; 53 940;9,2;+;4,5;67,9
FORD FUSION   ;198;0,5;-;22,7;64,1; 3 788;0,6;-;24,3;59,9
HONDA INSIGHT   ;3;0;-;96;100;199;0;-;73,9;67,8
HONDA JAZZ   ; 1 496;3,5;+;106,3;60; 12 395;2,1;+;6,4;45,3
HYUNDAI GETZ   ;-;-;-;100;-;24;0;-;94;62,5
HYUNDAI I 20   ; 1 042;2,4;+;20,3;70,2; 12 376;2,1;+;37,5;38,8
KIA PICANTO   ;594;1,4;+;8,2;66,5; 6 610;1,1;+;25,1;69
KIA VENGA   ;384;0,9;-;31,4;41,9; 7 352;1,3;+;37,2;50,4
MAZDA 2   ;533;1,2;-;13,2;36,6; 8 548;1,5;-;10,8;40
MITSUBISHI COLT   ;539;1,2;-;43;26,5; 9 321;1,6;-;1,7;22,2
NISSAN JUKE   ;673;1,6;+;0,3;47,5; 10 593;1,8;+;409;42,5
NISSAN MICRA   ;887;2,1;+;296;53,6; 11 909;2;-;32,7;58,5
OPEL CORSA   ; 6 360;14,7;+;9,2;81,6; 70 152;12;+;7,4;68,9
PEUGEOT 206   ;377;0,9;-;54,9;37,9; 8 832;1,5;-;39,1;49
PEUGEOT 207   ; 1 135;2,6;-;17,8;41,2; 22 631;3,9;-;5,7;48,9
RENAULT CLIO   ; 1 024;2,4;-;49,9;55,3; 20 372;3,5;-;12,7;50,7
RENAULT WIND   ;31;0,1;-;77,9;54,8; 2 079;0,4;+;116,8;46
SEAT IBIZA, CORDOBA; 1 670;3,9;+;1,4;57,3; 28 192;4,8;+;19,6;51,2
SKODA FABIA   ; 3 019;7;-;22,7;44,8; 47 579;8,1;-;2,1;47,4
SUBARU JUSTY   ;3;0;-;99,4;66,7;283;0;-;78;85,5
