Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
Minis ; ; ; ;; ; ; ; ;; ;
CHEVROLET SPARK;142;1;-;78,5;42,3; 4 917;2,4;-;38,9;72;
CITROEN C-ZERO   ;-;-;-;100;-;276;0,1;-;39,2;99,3;
CITROEN C1   ;326;2,3;-;12,4;71,2; 4 903;2,4;-;34,3;70,9;
FIAT PANDA   ;721;5,2;-;34,6;65,6; 9 529;4,7;-;40,3;62,1;
FIAT 500   ; 2 563;18,3;+;60,1;83; 29 024;14,2;+;45;73,2;
FORD KA   ;354;2,5;-;42,9;70,3; 8 407;4,1;-;7,7;55,4;
HYUNDAI I 10   ;484;3,5;-;17,8;70,5; 15 368;7,5;+;9,8;74;
LANCIA YPSILON   ;36;0,3;-;2,7;77,8;420;0,2;-;60,7;73,3;
MITSUBISHI I-MIEV   ;-;-;;X;-;89;0;-;7,3;95,5;
NISSAN PIXO   ;1;0;-;99,7;-;429;0,2;-;77,9;84,1;
OPEL AGILA   ;88;0,6;-;51,4;78,4; 1 630;0,8;-;39,5;60,6;
PEUGEOT ION   ;7;0,1;;X;100;48;0;-;81,7;95,8;
PEUGEOT 107   ;80;0,6;-;49,4;70; 2 134;1;-;52,1;71,6;
RENAULT TWINGO   ; 1 259;9;-;18,1;63,8; 19 187;9,4;-;9,3;60,9;
SEAT MII   ;760;5,4;-;30,7;58,3; 11 340;5,5;+;44,6;53,7;
SKODA CITIGO   ; 1 062;7,6;-;19,1;62,4; 13 852;6,8;+;63,2;60,3;
SMART FORTWO   ; 1 322;9,4;+;3,3;45,3; 26 009;12,7;-;7,3;38,8;
SUZUKI ALTO   ;107;0,8;-;1,8;43,9; 1 315;0,6;-;57,2;37,6;
SUZUKI SPLASH   ;194;1,4;-;17,8;54,1; 2 952;1,4;-;13,9;35,1;
TOYOTA AYGO   ;705;5;-;54,7;67,4; 9 025;4,4;-;21;60,9;
TOYOTA IQ   ;41;0,3;-;37,9;34,1;745;0,4;-;47,3;46,6;
